sentence,gold_brackets,pred_brackets,tp,fp,fn
"the red small dog chased the park","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 4), (0, 6), (1, 2), (1, 3), (1, 4), (5, 6)]",5,1,1
"a woman liked","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"the red small park admired a dog","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"the park liked the big small cat","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"a quick quick park chased the dog","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"the telescope chased","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"a red quick big telescope found a big big man","[(0, 4), (0, 5), (0, 9), (1, 3), (1, 4), (2, 3), (6, 9), (7, 8), (7, 9)]","[(0, 4), (0, 5), (0, 9), (1, 2), (1, 3), (1, 4), (6, 9), (7, 8), (7, 9)]",8,1,1
"a telescope admired a quick lazy telescope with the woman","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]","[(0, 1), (0, 2), (0, 6), (0, 9), (3, 6), (4, 5), (4, 6), (7, 9), (8, 9)]",9,0,0
"the woman liked a big lazy quick big woman","[(0, 1), (0, 2), (0, 8), (3, 8), (4, 7), (4, 8), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 6), (0, 8), (3, 6), (4, 6), (5, 6), (7, 8)]",3,5,5
"a small red small dog liked the park","[(0, 4), (0, 5), (0, 7), (1, 3), (1, 4), (2, 3), (6, 7)]","[(0, 4), (0, 5), (0, 7), (1, 3), (1, 4), (2, 3), (6, 7)]",7,0,0
"a lazy red park admired","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"the dog saw a man in the man","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]","[(0, 1), (0, 2), (0, 4), (0, 7), (3, 4), (5, 7), (6, 7)]",7,0,0
"a woman admired","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"the small red cat saw the park","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]","[(0, 3), (0, 4), (0, 6), (1, 2), (1, 3), (5, 6)]",6,0,0
"a cat saw a quick red woman","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"the man liked","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"a lazy small cat admired","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
"a telescope found","[(0, 1), (0, 2)]","[(0, 1), (0, 2)]",2,0,0
"a man chased the lazy big man","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]","[(0, 1), (0, 2), (0, 6), (3, 6), (4, 5), (4, 6)]",6,0,0
"the lazy quick cat chased the dog on the dog","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]",9,0,0
"the red red small telescope chased","[(0, 4), (0, 5), (1, 3), (1, 4), (2, 3)]","[(0, 4), (0, 5), (1, 3), (1, 4), (2, 3)]",5,0,0
"the big red dog admired a park under the man","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]","[(0, 3), (0, 4), (0, 6), (0, 9), (1, 2), (1, 3), (5, 6), (7, 9), (8, 9)]",9,0,0
"the big quick park saw the quick quick quick cat","[(0, 3), (0, 4), (0, 9), (1, 2), (1, 3), (5, 9), (6, 8), (6, 9), (7, 8)]","[(0, 3), (0, 4), (0, 8), (0, 9), (1, 3), (2, 3), (5, 8), (6, 8), (7, 8)]",6,3,3
"a red lazy man found","[(0, 3), (0, 4), (1, 2), (1, 3)]","[(0, 3), (0, 4), (1, 2), (1, 3)]",4,0,0
