idx,sentence,mask_pos,gold,gold_pos,filled,filled_pos,completed,exact,pos_ok
0,"a woman sees a man",2,sees,V,likes,V,"a woman likes a man",0,1
1,"the cat sees the dog",2,sees,V,chases,V,"the cat chases the dog",0,1
2,"a man chases a man",2,chases,V,likes,V,"a man likes a man",0,1
3,"the dog sees a dog",2,sees,V,likes,V,"the dog likes a dog",0,1
4,"a woman sees a dog",2,sees,V,sees,V,"a woman sees a dog",1,1
5,"the woman likes a dog",2,likes,V,runs,V,"the woman runs a dog",0,1
6,"the cat runs a cat",2,runs,V,sees,V,"the cat sees a cat",0,1
7,"a man likes the cat",2,likes,V,sees,V,"a man sees the cat",0,1
8,"the man chases a woman",2,chases,V,likes,V,"the man likes a woman",0,1
9,"the dog chases a woman",2,chases,V,runs,V,"the dog runs a woman",0,1
10,"the woman chases",1,woman,N,cat,N,"the cat chases",0,1
11,"a woman chases the man",2,chases,V,runs,V,"a woman runs the man",0,1
12,"the man runs the man",2,runs,V,likes,V,"the man likes the man",0,1
13,"a man chases the man",2,chases,V,likes,V,"a man likes the man",0,1
14,"the man sees",1,man,N,woman,N,"the woman sees",0,1
15,"a man runs the dog",2,runs,V,likes,V,"a man likes the dog",0,1
16,"a dog likes a cat",2,likes,V,chases,V,"a dog chases a cat",0,1
17,"the man runs a woman",2,runs,V,likes,V,"the man likes a woman",0,1
18,"a cat sees the dog",2,sees,V,chases,V,"a cat chases the dog",0,1
19,"the man chases a dog",2,chases,V,likes,V,"the man likes a dog",0,1
20,"a man sees",1,man,N,cat,N,"a cat sees",0,1
21,"a woman chases the woman",2,chases,V,runs,V,"a woman runs the woman",0,1
22,"the cat runs a man",2,runs,V,chases,V,"the cat chases a man",0,1
23,"the cat chases the cat",2,chases,V,runs,V,"the cat runs the cat",0,1
24,"the cat likes a dog",2,likes,V,sees,V,"the cat sees a dog",0,1
25,"a dog runs the woman",2,runs,V,sees,V,"a dog sees the woman",0,1
26,"the man runs a man",2,runs,V,likes,V,"the man likes a man",0,1
27,"the woman sees the man",2,sees,V,sees,V,"the woman sees the man",1,1
28,"the man runs a cat",2,runs,V,likes,V,"the man likes a cat",0,1
29,"a woman likes a woman",2,likes,V,runs,V,"a woman runs a woman",0,1
