idx,in_lexicon,grammatical,novel,text
0,1,1,1,"a curious blue girl admired near the teacher"
1,1,1,0,"this boy chased this teacher"
2,1,1,1,"this book carried that tall blue girl near that boy"
3,1,0,1,"curious ancient apple carried with the friendly curious apple"
4,1,1,1,"the tall tall blue book read with a apple"
5,1,1,1,"this blue curious boy admired this robot"
6,1,1,1,"the boy saw that teacher"
7,1,1,1,"this apple read that apple"
8,1,1,1,"this tall blue teacher carried the tall friendly teacher"
9,1,1,1,"a apple saw that teacher with the boy"
10,1,1,0,"that boy liked a boy near a book"
11,1,1,1,"the teacher saw that blue tall girl"
12,1,0,1,"this tall curious robot admired with this read without a boy apple"
13,1,1,0,"this ancient friendly friendly teacher admired that teacher"
14,1,1,0,"that teacher chased with this robot"
15,1,1,1,"the girl liked a friendly blue book"
16,1,1,1,"the ancient friendly girl admired without this apple"
17,1,1,1,"the blue friendly teacher liked with a friendly ancient robot"
18,1,1,0,"this apple admired the teacher"
19,1,1,0,"a boy liked that robot"
20,1,1,0,"the robot admired near this apple"
21,1,1,0,"that ancient ancient friendly apple chased this book"
22,1,1,0,"the blue tall boy chased the boy"
23,1,1,0,"a boy saw this book"
24,1,1,0,"that friendly curious boy admired this girl"
25,1,1,1,"a girl carried a robot without that boy"
26,1,1,1,"a blue ancient robot saw this teacher"
27,1,1,1,"that girl chased this boy"
28,1,1,1,"this robot read that robot"
29,1,1,1,"that blue ancient book read the tall blue friendly girl"
30,1,1,1,"that teacher chased with the robot"
31,1,1,1,"that friendly ancient curious teacher admired near that apple"
32,1,1,1,"that girl chased that robot"
33,1,1,0,"that apple chased a book"
34,1,1,1,"this teacher read without the apple"
35,1,1,1,"that teacher chased with the robot"
36,1,1,1,"this apple admired the blue friendly teacher"
37,1,1,1,"that ancient tall teacher carried without this boy"
38,1,1,1,"this book read that boy without the boy"
39,1,1,0,"a boy liked the blue tall book"
40,1,1,0,"the apple read the teacher"
41,1,1,0,"a girl carried near a robot"
42,1,1,1,"this boy chased that girl"
43,1,1,0,"a ancient friendly girl liked a apple"
44,1,1,1,"this tall friendly curious robot chased the boy"
45,1,1,1,"a blue ancient robot read near that book"
46,1,0,1,"the curious blue girl read that friendly blue tall"
47,1,1,0,"a girl chased with this teacher that admired this book"
48,1,1,1,"the apple saw without a ancient blue boy"
49,1,1,1,"a ancient tall robot admired without a friendly curious boy"
