idx,in_lexicon,grammatical,novel,text
0,1,1,1,"the red lazy man chased"
1,1,1,0,"the woman found"
2,1,1,0,"the woman admired the cat with the park"
3,1,1,0,"a red small cat admired"
4,1,1,1,"the lazy big cat admired"
5,1,1,1,"the park liked the lazy red woman"
6,1,1,1,"the park saw"
7,1,1,0,"a big lazy lazy dog liked a cat"
8,1,1,0,"a woman admired a small red park"
9,1,1,1,"a small small park admired"
10,1,1,1,"a woman liked the big quick park under a woman"
11,1,1,0,"a big quick park liked the big lazy park"
12,1,1,0,"a woman chased"
13,1,1,1,"a woman saw a man in the man"
14,1,1,0,"a cat found the telescope"
15,1,1,0,"a woman chased a dog"
16,1,1,1,"the dog liked the small red cat in a cat"
17,1,1,0,"the woman liked a lazy lazy telescope"
18,1,1,1,"the red quick park found a lazy big woman"
19,1,1,0,"a cat admired the red lazy big park"
20,1,1,0,"the man liked"
21,1,1,1,"the man admired the quick small park with the park"
22,1,1,0,"a big small woman chased"
23,1,1,1,"a man chased the big big man"
24,1,1,1,"a red quick big telescope liked"
25,1,1,1,"the small quick cat saw the park"
26,1,1,1,"a red lazy man admired"
27,1,1,0,"the dog admired the quick small park with the park"
28,1,1,0,"a park chased the telescope"
29,1,1,0,"the lazy quick man admired a cat on a telescope"
30,1,1,0,"a park admired the cat"
31,1,1,0,"the telescope found"
32,1,1,1,"a woman chased the woman"
33,1,1,0,"a dog admired a quick quick big park"
34,1,1,1,"the lazy small dog admired a park under the man"
35,1,1,1,"a man found"
36,1,1,1,"the big small small red man admired the woman"
37,1,1,1,"the cat liked a red small man"
38,1,1,0,"a telescope saw"
39,1,1,1,"a big red telescope liked a lazy big cat"
40,1,1,0,"the cat chased"
41,1,1,0,"a woman chased"
42,1,1,1,"the lazy small dog found a big big telescope"
43,1,1,1,"the park saw"
44,1,1,0,"the red red park chased"
45,1,1,0,"a quick quick woman chased the man"
46,1,1,1,"a park chased a telescope"
47,1,1,0,"a dog saw"
48,1,1,1,"the small small cat admired a park under the man"
49,1,1,0,"the small small cat admired a park"
