idx,sentence,mask_pos,gold,gold_pos,filled,filled_pos,completed,exact,pos_ok
0,"this blue blue apple liked a blue curious ancient robot",5,a,Det,a,Det,"this blue blue apple liked a blue curious ancient robot",1,1
1,"this teacher carried that apple near the girl",4,apple,N,ancient,Adj,"this teacher carried that ancient near the girl",0,0
2,"a boy liked with that book",3,with,P,without,P,"a boy liked without that book",0,1
3,"the ancient curious robot liked this teacher",3,robot,N,robot,N,"the ancient curious robot liked this teacher",1,1
4,"the robot admired that tall tall blue book",4,tall,Adj,a,Det,"the robot admired that a tall blue book",0,0
5,"a teacher admired the book with a tall blue book",5,with,P,liked,V,"a teacher admired the book liked a tall blue book",0,0
6,"this teacher liked this robot",2,liked,V,read,V,"this teacher read this robot",0,1
7,"that blue friendly teacher carried the friendly blue robot",4,carried,V,saw,V,"that blue friendly teacher saw the friendly blue robot",0,1
8,"a girl saw a curious friendly teacher near the girl",5,friendly,Adj,blue,Adj,"a girl saw a curious blue teacher near the girl",0,1
9,"the apple read the teacher",2,read,V,admired,V,"the apple admired the teacher",0,1
10,"this book chased with that boy",3,with,P,with,P,"this book chased with that boy",1,1
11,"a apple read this boy",2,read,V,admired,V,"a apple admired this boy",0,1
12,"a curious ancient book liked near a teacher",4,liked,V,admired,V,"a curious ancient book admired near a teacher",0,1
13,"a apple read that girl",2,read,V,liked,V,"a apple liked that girl",0,1
14,"that apple saw that boy",2,saw,V,admired,V,"that apple admired that boy",0,1
15,"this tall tall girl read with that blue ancient girl",5,with,P,with,P,"this tall tall girl read with that blue ancient girl",1,1
16,"this friendly blue friendly girl chased without the girl",4,girl,N,apple,N,"this friendly blue friendly apple chased without the girl",0,1
17,"this tall tall robot carried near the blue ancient robot",5,near,P,this,Det,"this tall tall robot carried this the blue ancient robot",0,0
18,"a curious blue robot read near a teacher",4,read,V,saw,V,"a curious blue robot saw near a teacher",0,1
19,"the robot liked near a girl",3,near,P,without,P,"the robot liked without a girl",0,1
20,"the robot read the robot",2,read,V,admired,V,"the robot admired the robot",0,1
21,"this girl chased near this blue friendly teacher",4,this,Det,this,Det,"this girl chased near this blue friendly teacher",1,1
22,"that teacher carried a boy",2,carried,V,read,V,"that teacher read a boy",0,1
23,"a book admired near the curious ancient friendly curious book",5,curious,Adj,ancient,Adj,"a book admired near the ancient ancient friendly curious book",0,1
24,"that ancient tall book carried a boy",3,book,N,book,N,"that ancient tall book carried a boy",1,1
25,"that friendly ancient book read the curious friendly boy",4,read,V,admired,V,"that friendly ancient book admired the curious friendly boy",0,1
26,"the teacher liked the blue curious teacher",3,the,Det,the,Det,"the teacher liked the blue curious teacher",1,1
27,"that book carried the apple without this book",4,apple,N,girl,N,"that book carried the girl without this book",0,1
28,"the friendly friendly girl read a friendly ancient boy",4,read,V,read,V,"the friendly friendly girl read a friendly ancient boy",1,1
29,"this friendly curious boy admired near the robot",4,admired,V,admired,V,"this friendly curious boy admired near the robot",1,1
