sentence,step,n_pairs,n_admitted,top_span,is_gold
"that tall curious girl carried with that girl",0,7,7,"(1, 2)",1
"that tall curious girl carried with that girl",1,6,6,"(6, 7)",1
"that tall curious girl carried with that girl",2,5,5,"(0, 3)",1
"that tall curious girl carried with that girl",3,4,4,"(6, 7)",1
"that tall curious girl carried with that girl",4,3,3,"(5, 7)",1
"that tall curious girl carried with that girl",5,2,2,"(0, 4)",1
"that tall curious girl carried with that girl",6,1,1,"(0, 7)",1
"the girl who read a teacher saw with the boy",0,9,9,"(0, 1)",0
"the girl who read a teacher saw with the boy",1,8,8,"(0, 1)",0
"the girl who read a teacher saw with the boy",2,7,7,"(0, 1)",0
"the girl who read a teacher saw with the boy",3,6,6,"(0, 1)",0
"the girl who read a teacher saw with the boy",4,5,5,"(8, 9)",1
"the girl who read a teacher saw with the boy",5,4,4,"(8, 9)",1
"the girl who read a teacher saw with the boy",6,3,3,"(7, 9)",1
"the girl who read a teacher saw with the boy",7,2,2,"(0, 6)",1
"the girl who read a teacher saw with the boy",8,1,1,"(0, 9)",1
"the boy read with the curious tall robot",0,7,7,"(0, 1)",1
"the boy read with the curious tall robot",1,6,6,"(5, 6)",1
"the boy read with the curious tall robot",2,5,5,"(5, 7)",1
"the boy read with the curious tall robot",3,4,4,"(4, 7)",1
"the boy read with the curious tall robot",4,3,3,"(3, 7)",1
"the boy read with the curious tall robot",5,2,2,"(0, 2)",1
"the boy read with the curious tall robot",6,1,1,"(0, 7)",1
"a girl saw a curious friendly teacher near the girl",0,9,9,"(0, 1)",1
"a girl saw a curious friendly teacher near the girl",1,8,8,"(8, 9)",1
"a girl saw a curious friendly teacher near the girl",2,7,7,"(8, 9)",1
"a girl saw a curious friendly teacher near the girl",3,6,6,"(8, 9)",1
"a girl saw a curious friendly teacher near the girl",4,5,5,"(8, 9)",1
"a girl saw a curious friendly teacher near the girl",5,4,4,"(7, 9)",1
"a girl saw a curious friendly teacher near the girl",6,3,3,"(0, 2)",1
"a girl saw a curious friendly teacher near the girl",7,2,2,"(3, 9)",0
"a girl saw a curious friendly teacher near the girl",8,1,1,"(0, 9)",1
"the boy liked this friendly blue robot",0,6,6,"(0, 1)",1
"the boy liked this friendly blue robot",1,5,5,"(4, 5)",1
"the boy liked this friendly blue robot",2,4,4,"(4, 6)",1
"the boy liked this friendly blue robot",3,3,3,"(3, 6)",1
"the boy liked this friendly blue robot",4,2,2,"(2, 6)",0
"the boy liked this friendly blue robot",5,1,1,"(0, 6)",1
"a curious blue boy saw a blue friendly book",0,8,8,"(6, 7)",1
"a curious blue boy saw a blue friendly book",1,7,7,"(1, 3)",1
"a curious blue boy saw a blue friendly book",2,6,6,"(0, 3)",1
"a curious blue boy saw a blue friendly book",3,5,5,"(6, 7)",1
"a curious blue boy saw a blue friendly book",4,4,4,"(6, 8)",1
"a curious blue boy saw a blue friendly book",5,3,3,"(5, 8)",1
"a curious blue boy saw a blue friendly book",6,2,2,"(4, 8)",0
"a curious blue boy saw a blue friendly book",7,1,1,"(0, 8)",1
"that book liked with the boy",0,5,5,"(4, 5)",1
"that book liked with the boy",1,4,4,"(4, 5)",1
"that book liked with the boy",2,3,3,"(3, 5)",1
"that book liked with the boy",3,2,2,"(0, 2)",1
"that book liked with the boy",4,1,1,"(0, 5)",1
"this tall tall robot carried near the blue ancient robot",0,9,9,"(7, 8)",1
"this tall tall robot carried near the blue ancient robot",1,8,8,"(7, 8)",1
"this tall tall robot carried near the blue ancient robot",2,7,7,"(0, 3)",1
"this tall tall robot carried near the blue ancient robot",3,6,6,"(7, 8)",1
"this tall tall robot carried near the blue ancient robot",4,5,5,"(7, 9)",1
"this tall tall robot carried near the blue ancient robot",5,4,4,"(6, 9)",1
"this tall tall robot carried near the blue ancient robot",6,3,3,"(5, 9)",1
"this tall tall robot carried near the blue ancient robot",7,2,2,"(0, 4)",1
"this tall tall robot carried near the blue ancient robot",8,1,1,"(0, 9)",1
"the robot liked this girl",0,4,4,"(0, 1)",1
"the robot liked this girl",1,3,3,"(3, 4)",1
"the robot liked this girl",2,2,2,"(0, 2)",1
"the robot liked this girl",3,1,1,"(0, 4)",1
"the friendly blue girl admired this apple",0,6,6,"(5, 6)",1
"the friendly blue girl admired this apple",1,5,5,"(5, 6)",1
"the friendly blue girl admired this apple",2,4,4,"(5, 6)",1
"the friendly blue girl admired this apple",3,3,3,"(5, 6)",1
"the friendly blue girl admired this apple",4,2,2,"(0, 4)",1
"the friendly blue girl admired this apple",5,1,1,"(0, 6)",1
"that ancient friendly book carried without that book",0,7,7,"(6, 7)",1
"that ancient friendly book carried without that book",1,6,6,"(6, 7)",1
"that ancient friendly book carried without that book",2,5,5,"(6, 7)",1
"that ancient friendly book carried without that book",3,4,4,"(6, 7)",1
"that ancient friendly book carried without that book",4,3,3,"(5, 7)",1
"that ancient friendly book carried without that book",5,2,2,"(0, 4)",1
"that ancient friendly book carried without that book",6,1,1,"(0, 7)",1
"the girl admired without a friendly ancient robot",0,7,7,"(0, 1)",1
"the girl admired without a friendly ancient robot",1,6,6,"(5, 6)",1
"the girl admired without a friendly ancient robot",2,5,5,"(5, 7)",1
"the girl admired without a friendly ancient robot",3,4,4,"(4, 7)",1
"the girl admired without a friendly ancient robot",4,3,3,"(3, 7)",1
"the girl admired without a friendly ancient robot",5,2,2,"(0, 2)",1
"the girl admired without a friendly ancient robot",6,1,1,"(0, 7)",1
"this blue blue girl liked without that girl",0,7,7,"(6, 7)",1
"this blue blue girl liked without that girl",1,6,6,"(6, 7)",1
"this blue blue girl liked without that girl",2,5,5,"(0, 3)",1
"this blue blue girl liked without that girl",3,4,4,"(6, 7)",1
"this blue blue girl liked without that girl",4,3,3,"(5, 7)",1
"this blue blue girl liked without that girl",5,2,2,"(0, 4)",1
"this blue blue girl liked without that girl",6,1,1,"(0, 7)",1
"a apple read this boy",0,4,4,"(3, 4)",1
"a apple read this boy",1,3,3,"(3, 4)",1
"a apple read this boy",2,2,2,"(0, 2)",1
"a apple read this boy",3,1,1,"(0, 4)",1
"a teacher read with this blue friendly girl",0,7,7,"(0, 1)",1
"a teacher read with this blue friendly girl",1,6,6,"(5, 6)",1
"a teacher read with this blue friendly girl",2,5,5,"(5, 7)",1
"a teacher read with this blue friendly girl",3,4,4,"(4, 7)",1
"a teacher read with this blue friendly girl",4,3,3,"(3, 7)",1
"a teacher read with this blue friendly girl",5,2,2,"(0, 2)",1
"a teacher read with this blue friendly girl",6,1,1,"(0, 7)",1
"a curious blue robot read near a teacher",0,7,7,"(6, 7)",1
"a curious blue robot read near a teacher",1,6,6,"(6, 7)",1
"a curious blue robot read near a teacher",2,5,5,"(6, 7)",1
"a curious blue robot read near a teacher",3,4,4,"(6, 7)",1
"a curious blue robot read near a teacher",4,3,3,"(5, 7)",1
"a curious blue robot read near a teacher",5,2,2,"(0, 4)",1
"a curious blue robot read near a teacher",6,1,1,"(0, 7)",1
"the book chased this tall ancient friendly girl",0,7,7,"(0, 1)",1
"the book chased this tall ancient friendly girl",1,6,6,"(4, 5)",0
"the book chased this tall ancient friendly girl",2,5,5,"(3, 4)",0
"the book chased this tall ancient friendly girl",3,4,4,"(3, 6)",0
"the book chased this tall ancient friendly girl",4,3,3,"(3, 7)",1
"the book chased this tall ancient friendly girl",5,2,2,"(0, 2)",1
"the book chased this tall ancient friendly girl",6,1,1,"(0, 7)",1
"the teacher read this robot",0,4,4,"(3, 4)",1
"the teacher read this robot",1,3,3,"(3, 4)",1
"the teacher read this robot",2,2,2,"(0, 2)",1
"the teacher read this robot",3,1,1,"(0, 4)",1
"the girl chased without a apple",0,5,5,"(0, 1)",1
"the girl chased without a apple",1,4,4,"(4, 5)",1
"the girl chased without a apple",2,3,3,"(3, 5)",1
"the girl chased without a apple",3,2,2,"(0, 2)",1
"the girl chased without a apple",4,1,1,"(0, 5)",1
"a friendly blue ancient teacher chased with this robot",0,8,8,"(7, 8)",1
"a friendly blue ancient teacher chased with this robot",1,7,7,"(7, 8)",1
"a friendly blue ancient teacher chased with this robot",2,6,6,"(7, 8)",1
"a friendly blue ancient teacher chased with this robot",3,5,5,"(7, 8)",1
"a friendly blue ancient teacher chased with this robot",4,4,4,"(7, 8)",1
"a friendly blue ancient teacher chased with this robot",5,3,3,"(6, 8)",1
"a friendly blue ancient teacher chased with this robot",6,2,2,"(0, 5)",1
"a friendly blue ancient teacher chased with this robot",7,1,1,"(0, 8)",1
"a boy liked that robot",0,4,4,"(0, 1)",1
"a boy liked that robot",1,3,3,"(3, 4)",1
"a boy liked that robot",2,2,2,"(0, 2)",1
"a boy liked that robot",3,1,1,"(0, 4)",1
"the blue blue teacher saw without this apple",0,7,7,"(6, 7)",1
"the blue blue teacher saw without this apple",1,6,6,"(6, 7)",1
"the blue blue teacher saw without this apple",2,5,5,"(6, 7)",1
"the blue blue teacher saw without this apple",3,4,4,"(6, 7)",1
"the blue blue teacher saw without this apple",4,3,3,"(0, 4)",1
"the blue blue teacher saw without this apple",5,2,2,"(0, 4)",1
"the blue blue teacher saw without this apple",6,1,1,"(0, 7)",1
"the book read this tall ancient apple without a boy",0,9,9,"(0, 1)",1
"the book read this tall ancient apple without a boy",1,8,8,"(8, 9)",1
"the book read this tall ancient apple without a boy",2,7,7,"(8, 9)",1
"the book read this tall ancient apple without a boy",3,6,6,"(8, 9)",1
"the book read this tall ancient apple without a boy",4,5,5,"(8, 9)",1
"the book read this tall ancient apple without a boy",5,4,4,"(0, 2)",1
"the book read this tall ancient apple without a boy",6,3,3,"(0, 2)",1
"the book read this tall ancient apple without a boy",7,2,2,"(0, 6)",1
"the book read this tall ancient apple without a boy",8,1,1,"(0, 9)",1
"the tall ancient tall book read with a teacher",0,8,8,"(7, 8)",1
"the tall ancient tall book read with a teacher",1,7,7,"(7, 8)",1
"the tall ancient tall book read with a teacher",2,6,6,"(7, 8)",1
"the tall ancient tall book read with a teacher",3,5,5,"(7, 8)",1
"the tall ancient tall book read with a teacher",4,4,4,"(7, 8)",1
"the tall ancient tall book read with a teacher",5,3,3,"(6, 8)",1
"the tall ancient tall book read with a teacher",6,2,2,"(0, 5)",1
"the tall ancient tall book read with a teacher",7,1,1,"(0, 8)",1
"this curious curious girl liked near a boy",0,7,7,"(6, 7)",1
"this curious curious girl liked near a boy",1,6,6,"(6, 7)",1
"this curious curious girl liked near a boy",2,5,5,"(6, 7)",1
"this curious curious girl liked near a boy",3,4,4,"(6, 7)",1
"this curious curious girl liked near a boy",4,3,3,"(0, 4)",1
"this curious curious girl liked near a boy",5,2,2,"(0, 4)",1
"this curious curious girl liked near a boy",6,1,1,"(0, 7)",1
"a apple carried this boy near this boy",0,7,7,"(6, 7)",1
"a apple carried this boy near this boy",1,6,6,"(6, 7)",1
"a apple carried this boy near this boy",2,5,5,"(6, 7)",1
"a apple carried this boy near this boy",3,4,4,"(5, 7)",1
"a apple carried this boy near this boy",4,3,3,"(0, 2)",1
"a apple carried this boy near this boy",5,2,2,"(0, 4)",1
"a apple carried this boy near this boy",6,1,1,"(0, 7)",1
"this curious tall curious book chased the apple",0,7,7,"(6, 7)",1
