sentence,step,n_pairs,n_admitted,top_span,is_gold
"the red small dog chased the park",0,6,6,"(5, 6)",1
"the red small dog chased the park",1,5,5,"(5, 6)",1
"the red small dog chased the park",2,4,4,"(5, 6)",1
"the red small dog chased the park",3,3,3,"(5, 6)",1
"the red small dog chased the park",4,2,2,"(0, 4)",1
"the red small dog chased the park",5,1,1,"(0, 6)",1
"a woman liked",0,2,2,"(0, 1)",1
"a woman liked",1,1,1,"(0, 2)",1
"the red small park admired a dog",0,6,6,"(5, 6)",1
"the red small park admired a dog",1,5,5,"(5, 6)",1
"the red small park admired a dog",2,4,4,"(5, 6)",1
"the red small park admired a dog",3,3,3,"(5, 6)",1
"the red small park admired a dog",4,2,2,"(0, 4)",1
"the red small park admired a dog",5,1,1,"(0, 6)",1
"the park liked the big small cat",0,6,6,"(0, 1)",1
"the park liked the big small cat",1,5,5,"(0, 2)",1
"the park liked the big small cat",2,4,4,"(0, 2)",1
"the park liked the big small cat",3,3,3,"(3, 6)",1
"the park liked the big small cat",4,2,2,"(0, 2)",1
"the park liked the big small cat",5,1,1,"(0, 6)",1
"a quick quick park chased the dog",0,6,6,"(1, 2)",1
"a quick quick park chased the dog",1,5,5,"(5, 6)",1
"a quick quick park chased the dog",2,4,4,"(5, 6)",1
"a quick quick park chased the dog",3,3,3,"(5, 6)",1
"a quick quick park chased the dog",4,2,2,"(0, 4)",1
"a quick quick park chased the dog",5,1,1,"(0, 6)",1
"the telescope chased",0,2,2,"(0, 1)",1
"the telescope chased",1,1,1,"(0, 2)",1
"a red quick big telescope found a big big man",0,9,9,"(1, 2)",0
"a red quick big telescope found a big big man",1,8,8,"(1, 3)",1
"a red quick big telescope found a big big man",2,7,7,"(1, 4)",1
"a red quick big telescope found a big big man",3,6,6,"(0, 4)",1
"a red quick big telescope found a big big man",4,5,5,"(0, 5)",1
"a red quick big telescope found a big big man",5,4,4,"(0, 5)",1
"a red quick big telescope found a big big man",6,3,3,"(0, 5)",1
"a red quick big telescope found a big big man",7,2,2,"(0, 5)",1
"a red quick big telescope found a big big man",8,1,1,"(0, 9)",1
"a telescope admired a quick lazy telescope with the woman",0,9,9,"(8, 9)",1
"a telescope admired a quick lazy telescope with the woman",1,8,8,"(8, 9)",1
"a telescope admired a quick lazy telescope with the woman",2,7,7,"(8, 9)",1
"a telescope admired a quick lazy telescope with the woman",3,6,6,"(8, 9)",1
"a telescope admired a quick lazy telescope with the woman",4,5,5,"(8, 9)",1
"a telescope admired a quick lazy telescope with the woman",5,4,4,"(0, 2)",1
"a telescope admired a quick lazy telescope with the woman",6,3,3,"(0, 2)",1
"a telescope admired a quick lazy telescope with the woman",7,2,2,"(0, 6)",1
"a telescope admired a quick lazy telescope with the woman",8,1,1,"(0, 9)",1
"the woman liked a big lazy quick big woman",0,8,8,"(1, 2)",0
"the woman liked a big lazy quick big woman",1,7,7,"(0, 2)",1
"the woman liked a big lazy quick big woman",2,6,6,"(0, 2)",1
"the woman liked a big lazy quick big woman",3,5,5,"(0, 2)",1
"the woman liked a big lazy quick big woman",4,4,4,"(0, 2)",1
"the woman liked a big lazy quick big woman",5,3,3,"(0, 2)",1
"the woman liked a big lazy quick big woman",6,2,2,"(0, 2)",1
"the woman liked a big lazy quick big woman",7,1,1,"(0, 8)",1
"a small red small dog liked the park",0,7,7,"(6, 7)",1
"a small red small dog liked the park",1,6,6,"(6, 7)",1
"a small red small dog liked the park",2,5,5,"(6, 7)",1
"a small red small dog liked the park",3,4,4,"(6, 7)",1
"a small red small dog liked the park",4,3,3,"(6, 7)",1
"a small red small dog liked the park",5,2,2,"(0, 5)",1
"a small red small dog liked the park",6,1,1,"(0, 7)",1
"a lazy red park admired",0,4,4,"(1, 2)",1
"a lazy red park admired",1,3,3,"(1, 3)",1
"a lazy red park admired",2,2,2,"(0, 3)",1
"a lazy red park admired",3,1,1,"(0, 4)",1
"the dog saw a man in the man",0,7,7,"(0, 1)",1
"the dog saw a man in the man",1,6,6,"(0, 2)",1
"the dog saw a man in the man",2,5,5,"(0, 2)",1
"the dog saw a man in the man",3,4,4,"(0, 2)",1
"the dog saw a man in the man",4,3,3,"(0, 2)",1
"the dog saw a man in the man",5,2,2,"(0, 4)",1
"the dog saw a man in the man",6,1,1,"(0, 7)",1
"a woman admired",0,2,2,"(0, 1)",1
"a woman admired",1,1,1,"(0, 2)",1
"the small red cat saw the park",0,6,6,"(5, 6)",1
"the small red cat saw the park",1,5,5,"(5, 6)",1
"the small red cat saw the park",2,4,4,"(5, 6)",1
"the small red cat saw the park",3,3,3,"(5, 6)",1
"the small red cat saw the park",4,2,2,"(0, 4)",1
"the small red cat saw the park",5,1,1,"(0, 6)",1
"a cat saw a quick red woman",0,6,6,"(0, 1)",1
"a cat saw a quick red woman",1,5,5,"(0, 2)",1
"a cat saw a quick red woman",2,4,4,"(4, 6)",1
"a cat saw a quick red woman",3,3,3,"(0, 2)",1
"a cat saw a quick red woman",4,2,2,"(0, 2)",1
"a cat saw a quick red woman",5,1,1,"(0, 6)",1
"the man liked",0,2,2,"(0, 1)",1
"the man liked",1,1,1,"(0, 2)",1
"a lazy small cat admired",0,4,4,"(0, 1)",0
"a lazy small cat admired",1,3,3,"(1, 3)",1
"a lazy small cat admired",2,2,2,"(0, 3)",1
"a lazy small cat admired",3,1,1,"(0, 4)",1
"a telescope found",0,2,2,"(0, 1)",1
"a telescope found",1,1,1,"(0, 2)",1
"a man chased the lazy big man",0,6,6,"(0, 1)",1
"a man chased the lazy big man",1,5,5,"(0, 2)",1
"a man chased the lazy big man",2,4,4,"(0, 2)",1
"a man chased the lazy big man",3,3,3,"(3, 6)",1
"a man chased the lazy big man",4,2,2,"(0, 2)",1
"a man chased the lazy big man",5,1,1,"(0, 6)",1
"the lazy quick cat chased the dog on the dog",0,9,9,"(1, 2)",1
"the lazy quick cat chased the dog on the dog",1,8,8,"(8, 9)",1
"the lazy quick cat chased the dog on the dog",2,7,7,"(8, 9)",1
"the lazy quick cat chased the dog on the dog",3,6,6,"(8, 9)",1
"the lazy quick cat chased the dog on the dog",4,5,5,"(8, 9)",1
"the lazy quick cat chased the dog on the dog",5,4,4,"(7, 9)",1
"the lazy quick cat chased the dog on the dog",6,3,3,"(0, 4)",1
"the lazy quick cat chased the dog on the dog",7,2,2,"(0, 6)",1
"the lazy quick cat chased the dog on the dog",8,1,1,"(0, 9)",1
"the red red small telescope chased",0,5,5,"(2, 3)",1
"the red red small telescope chased",1,4,4,"(1, 3)",1
"the red red small telescope chased",2,3,3,"(1, 4)",1
"the red red small telescope chased",3,2,2,"(1, 5)",0
"the red red small telescope chased",4,1,1,"(0, 5)",1
"the big red dog admired a park under the man",0,9,9,"(8, 9)",1
"the big red dog admired a park under the man",1,8,8,"(8, 9)",1
"the big red dog admired a park under the man",2,7,7,"(8, 9)",1
"the big red dog admired a park under the man",3,6,6,"(0, 4)",1
"the big red dog admired a park under the man",4,5,5,"(0, 4)",1
"the big red dog admired a park under the man",5,4,4,"(0, 4)",1
"the big red dog admired a park under the man",6,3,3,"(0, 4)",1
"the big red dog admired a park under the man",7,2,2,"(0, 6)",1
"the big red dog admired a park under the man",8,1,1,"(0, 9)",1
"the big quick park saw the quick quick quick cat",0,9,9,"(1, 2)",1
"the big quick park saw the quick quick quick cat",1,8,8,"(1, 3)",1
"the big quick park saw the quick quick quick cat",2,7,7,"(0, 3)",1
"the big quick park saw the quick quick quick cat",3,6,6,"(0, 4)",1
"the big quick park saw the quick quick quick cat",4,5,5,"(0, 4)",1
"the big quick park saw the quick quick quick cat",5,4,4,"(0, 4)",1
"the big quick park saw the quick quick quick cat",6,3,3,"(0, 4)",1
"the big quick park saw the quick quick quick cat",7,2,2,"(0, 4)",1
"the big quick park saw the quick quick quick cat",8,1,1,"(0, 9)",1
"a red lazy man found",0,4,4,"(1, 2)",1
"a red lazy man found",1,3,3,"(1, 3)",1
"a red lazy man found",2,2,2,"(0, 3)",1
"a red lazy man found",3,1,1,"(0, 4)",1
"the big quick big quick quick woman liked",0,7,7,"(1, 2)",0
"the big quick big quick quick woman liked",1,6,6,"(1, 2)",0
"the big quick big quick quick woman liked",2,5,5,"(1, 2)",0
"the big quick big quick quick woman liked",3,4,4,"(1, 5)",1
"the big quick big quick quick woman liked",4,3,3,"(1, 6)",1
"the big quick big quick quick woman liked",5,2,2,"(1, 7)",0
"the big quick big quick quick woman liked",6,1,1,"(0, 7)",1
"the lazy lazy woman found",0,4,4,"(1, 2)",1
"the lazy lazy woman found",1,3,3,"(1, 3)",1
"the lazy lazy woman found",2,2,2,"(1, 4)",0
"the lazy lazy woman found",3,1,1,"(0, 4)",1
