sentence,step,n_pairs,n_admitted,top_span,is_gold
"the woman runs the woman",0,4,4,"(3, 4)",1
"the woman runs the woman",1,3,3,"(3, 4)",1
"the woman runs the woman",2,2,2,"(0, 2)",1
"the woman runs the woman",3,1,1,"(0, 4)",1
"the cat chases the dog",0,4,4,"(3, 4)",1
"the cat chases the dog",1,3,3,"(3, 4)",1
"the cat chases the dog",2,2,2,"(0, 2)",1
"the cat chases the dog",3,1,1,"(0, 4)",1
"a cat sees the cat",0,4,4,"(0, 1)",1
"a cat sees the cat",1,3,3,"(0, 2)",1
"a cat sees the cat",2,2,2,"(0, 2)",1
"a cat sees the cat",3,1,1,"(0, 4)",1
"the cat sees a cat",0,4,4,"(3, 4)",1
"the cat sees a cat",1,3,3,"(3, 4)",1
"the cat sees a cat",2,2,2,"(0, 2)",1
"the cat sees a cat",3,1,1,"(0, 4)",1
"a dog sees a man",0,4,4,"(0, 1)",1
"a dog sees a man",1,3,3,"(3, 4)",1
"a dog sees a man",2,2,2,"(0, 2)",1
"a dog sees a man",3,1,1,"(0, 4)",1
"a cat likes a woman",0,4,4,"(0, 1)",1
"a cat likes a woman",1,3,3,"(3, 4)",1
"a cat likes a woman",2,2,2,"(0, 2)",1
"a cat likes a woman",3,1,1,"(0, 4)",1
"a man runs",0,2,2,"(0, 1)",1
"a man runs",1,1,1,"(0, 2)",1
"the cat runs the cat",0,4,4,"(3, 4)",1
"the cat runs the cat",1,3,3,"(3, 4)",1
"the cat runs the cat",2,2,2,"(0, 2)",1
"the cat runs the cat",3,1,1,"(0, 4)",1
"the cat runs",0,2,2,"(0, 1)",1
"the cat runs",1,1,1,"(0, 2)",1
"a cat likes a man",0,4,4,"(0, 1)",1
"a cat likes a man",1,3,3,"(3, 4)",1
"a cat likes a man",2,2,2,"(0, 2)",1
"a cat likes a man",3,1,1,"(0, 4)",1
"the dog likes the dog",0,4,4,"(0, 1)",1
"the dog likes the dog",1,3,3,"(3, 4)",1
"the dog likes the dog",2,2,2,"(0, 2)",1
"the dog likes the dog",3,1,1,"(0, 4)",1
"a man likes a man",0,4,4,"(0, 1)",1
"a man likes a man",1,3,3,"(3, 4)",1
"a man likes a man",2,2,2,"(0, 2)",1
